City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Te Anau,NZ,-45.4167,167.7167,35.42,83,17,1.32,few clouds
267,Havelock,US,34.8791,-76.9013,82.94,85,0,6.91,clear sky
268,Ulaanbaatar,MN,47.9077,106.8832,62.73,55,40,2.24,scattered clouds
269,Longhua,CN,23.6137,114.1919,83.08,74,81,8.66,broken clouds
270,Kropotkin,RU,45.4375,40.5756,68.67,44,0,9.44,clear sky
271,Dulovo,BG,43.8167,27.15,70.56,71,0,6.69,clear sky
272,Ewa Beach,US,21.3156,-158.0072,89.55,52,0,17.27,clear sky
273,Impfondo,CG,1.6381,18.0667,73.04,82,86,1.39,overcast clouds
274,Fort Nelson,CA,58.8053,-122.7002,71.19,33,40,6.91,scattered clouds
275,Gaya,IN,24.7833,85.0,82.31,89,75,6.91,mist
276,Skibbereen,IE,51.55,-9.2667,55.11,78,55,5.17,broken clouds
277,Sitka,US,57.0531,-135.33,64.29,59,40,5.75,scattered clouds
278,Nishihara,JP,26.1842,127.7558,89.65,72,75,10.36,broken clouds
279,Trinidad,BO,-14.8333,-64.9,70.63,95,28,8.97,scattered clouds
280,Yatou,CN,37.15,122.3833,72.63,95,100,14.32,moderate rain
281,Cumberland,US,35.0502,-78.8664,82.9,72,0,8.05,clear sky
282,Yenotayevka,RU,47.2456,47.0281,77.0,40,100,7.02,overcast clouds
283,Chaves,US,33.3834,-104.4505,91.81,24,0,8.05,clear sky
284,Lorengau,PG,-2.0226,147.2712,84.11,71,55,10.87,light rain
285,Sergeyevka,KZ,53.88,67.4158,65.5,63,99,12.01,overcast clouds
286,Salalah,OM,17.0151,54.0924,75.29,100,100,4.61,heavy intensity drizzle
287,Penne,IT,42.4538,13.9299,69.66,73,36,3.8,scattered clouds
288,Codrington,AU,-38.2667,141.9667,57.13,52,5,7.38,clear sky
289,Wichian Buri,TH,15.6578,101.106,79.72,83,100,10.92,overcast clouds
290,Beroroha,MG,-21.6667,45.1667,60.35,67,0,4.09,clear sky
291,Monrovia,LR,6.3005,-10.7969,75.02,86,100,8.63,light rain
292,Olafsvik,IS,64.8945,-23.7142,51.8,96,100,14.63,overcast clouds
293,San Patricio,US,28.017,-97.5169,85.89,69,23,12.08,few clouds
294,Fortuna,US,40.5982,-124.1573,65.98,78,20,10.36,few clouds
295,Berdigestyakh,RU,62.0989,126.6992,62.1,74,100,8.52,overcast clouds
296,Le Port,RE,-20.9373,55.2919,65.25,74,21,1.19,few clouds
297,Mnogovershinnyy,RU,53.9353,139.9242,65.64,67,82,4.52,broken clouds
298,Ciudad Guayana,VE,8.3533,-62.6528,81.52,87,26,4.59,scattered clouds
299,Rio Gallegos,AR,-51.6226,-69.2181,39.25,60,0,17.27,clear sky
300,Tommot,RU,58.9564,126.2925,55.09,97,100,10.92,moderate rain
301,Omboue,GA,-1.5746,9.2618,71.91,85,100,8.25,overcast clouds
302,Turgenevo,RU,54.8455,46.3297,68.92,65,78,1.54,broken clouds
303,Nouadhibou,MR,20.931,-17.0347,72.45,87,8,11.7,clear sky
304,Chuy,UY,-33.6971,-53.4616,48.02,86,84,7.11,broken clouds
305,Vilyuysk,RU,63.7553,121.6247,67.64,59,100,9.57,overcast clouds
306,Lac Du Bonnet,CA,50.2536,-96.0612,70.32,61,0,10.49,clear sky
307,Lompoc,US,34.6391,-120.4579,77.56,77,0,21.99,clear sky
308,Kenora,CA,49.8167,-94.4337,72.57,64,0,11.5,clear sky
309,Ambilobe,MG,-13.2,49.05,62.35,88,21,3.62,few clouds
310,Ixtapa,MX,20.7,-105.2,85.23,79,75,5.75,broken clouds
311,Yala,TH,6.3333,101.25,82.6,60,53,1.19,broken clouds
312,Kochevo,RU,59.5994,54.3125,62.85,95,82,3.74,light rain
313,Sao Filipe,CV,14.8961,-24.4956,79.0,82,64,5.7,broken clouds
314,Taoudenni,ML,22.6783,-3.9836,99.81,11,6,16.22,clear sky
315,San Policarpo,PH,12.1791,125.5072,83.86,71,52,4.83,broken clouds
316,Andreyevo,RU,55.9465,41.1505,61.86,96,100,3.6,overcast clouds
317,Bridgetown,BB,13.1,-59.6167,82.89,83,40,18.41,scattered clouds
318,Araguaina,BR,-7.1911,-48.2072,80.87,31,87,0.83,overcast clouds
319,Borskoye,RU,53.0333,51.7167,70.86,73,100,4.27,overcast clouds
320,Dudinka,RU,69.4058,86.1778,63.63,80,49,5.82,light rain
321,Nagato,JP,34.3833,131.2,87.85,64,84,13.09,broken clouds
