City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
112,Tugdan,PH,83.97,overcast clouds,12.3134,122.0853,Monte Carlo Restaurant & Airport Pension House
117,Westport,US,83.75,clear sky,41.1415,-73.3579,The Westport Inn
126,Palu,ID,83.61,broken clouds,-0.8917,119.8707,Hotel Santika Palu
130,Bahia Honda,CU,80.28,moderate rain,22.9036,-83.1592,Casa Gualberto - Deysi
135,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
136,Balkanabat,TM,87.01,broken clouds,39.5108,54.3671,Nebitchi Hotel
138,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
142,Hue,VN,78.91,broken clouds,16.4667,107.6,Saigon Morin Hotel
143,Sile,TR,77.58,scattered clouds,41.1754,29.6133,Phellos Suites
147,Chaibasa,IN,77.88,overcast clouds,22.5667,85.8167,Hotel Shifa Manor
153,Itarema,BR,76.73,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
158,Kununurra,AU,89.58,clear sky,-15.7667,128.7333,Hotel Kununurra
161,Magadan,RU,78.53,overcast clouds,59.5667,150.8,Magadan hotel
166,Crotone,IT,77.2,scattered clouds,39.0851,17.1178,Helios Hotel
169,Bintulu,MY,82.81,few clouds,3.1667,113.0333,900 Boutique INN
172,Roebourne,AU,76.21,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
175,Kushiro,JP,76.15,light intensity shower rain,42.975,144.3747,Toyoko Inn Kushiro Jujigai
178,Nemea,GR,78.22,clear sky,37.8167,22.6667,Mpouzinelos garage glx
179,Galle,LK,78.37,overcast clouds,6.0367,80.217,Amangalla
180,Binabalian,PH,80.78,heavy intensity rain,16.4202,119.9279,Sundowners Vacation Villas
182,Freeport,US,89.58,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
189,Contamana,PE,75.7,clear sky,-7.3333,-75.0167,Shiringal Touristic Park
191,Cozumel,MX,82.99,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
194,Jiwani,PK,80.69,overcast clouds,25.05,61.7417,Hamza hotel jiwani
196,Shimoda,JP,88.16,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
197,Kudahuvadhoo,MV,81.66,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
